customer_id,signup_date,acquisition_channel,state,subscription_tier,customer_segment
81,2023-02-10,Referral,NY,Plus,Credit Improver
82,2023-05-15,Partner,IL,Premium,Investor
83,2023-07-20,Partner,NJ,Essential,Investor
84,2025-02-18,Paid Search,TX,Premium,Credit Improver
85,2025-07-18,Organic,TX,Premium,Budget Builder
86,2024-05-17,Paid Search,NJ,Essential,Credit Improver
87,2024-02-11,Referral,CA,Essential,Investor
88,2025-03-15,Paid Search,NY,Essential,Credit Improver
89,2023-04-09,Paid Search,IL,Premium,Investor
90,2024-11-14,Partner,NJ,Plus,Budget Builder
91,2024-12-26,Organic,CA,Plus,Budget Builder
92,2025-08-18,Paid Search,NJ,Essential,Budget Builder
93,2024-09-04,Paid Search,NY,Essential,Budget Builder
94,2024-10-04,Paid Search,NY,Plus,Credit Improver
95,2025-10-25,Paid Search,TX,Plus,Budget Builder
96,2024-05-17,Paid Search,TX,Plus,Credit Improver
97,2025-02-05,Social,FL,Plus,Budget Builder
98,2024-02-02,Paid Search,FL,Plus,Investor
99,2025-05-20,Paid Search,TX,Essential,Credit Improver
100,2025-03-05,Paid Search,NY,Essential,Family Planner
101,2024-01-28,Organic,CA,Premium,Credit Improver
102,2023-07-26,Paid Search,GA,Essential,Family Planner
103,2025-06-10,Organic,TX,Essential,Budget Builder
104,2025-05-13,Partner,FL,Essential,Investor
105,2025-01-12,Organic,NY,Essential,Investor
106,2024-07-17,Social,GA,Essential,Budget Builder
107,2025-10-17,Social,IL,Essential,Budget Builder
108,2023-04-06,Referral,NJ,Plus,Credit Improver
109,2024-04-29,Partner,TX,Premium,Budget Builder
110,2023-08-19,Partner,TX,Essential,Credit Improver
111,2025-01-18,Partner,CA,Essential,Family Planner
112,2024-06-24,Paid Search,GA,Premium,Credit Improver
113,2024-06-08,Social,IL,Premium,Credit Improver
114,2024-07-31,Partner,NY,Premium,Credit Improver
115,2024-11-12,Organic,CA,Plus,Budget Builder
116,2024-07-10,Paid Search,IL,Essential,Investor
117,2025-10-09,Paid Search,NJ,Plus,Credit Improver
118,2024-10-07,Paid Search,NY,Essential,Budget Builder
119,2025-03-06,Paid Search,CA,Essential,Budget Builder
120,2023-07-09,Paid Search,NJ,Essential,Credit Improver
121,2024-09-24,Organic,NJ,Premium,Budget Builder
122,2024-09-19,Referral,TX,Essential,Budget Builder
123,2025-08-30,Paid Search,GA,Essential,Family Planner
124,2024-12-10,Partner,GA,Essential,Family Planner
125,2024-10-10,Referral,NY,Essential,Credit Improver
126,2023-11-14,Organic,NJ,Essential,Budget Builder
127,2024-11-14,Paid Search,CA,Essential,Family Planner
128,2024-10-25,Partner,NY,Plus,Investor
129,2024-03-17,Paid Search,NJ,Essential,Family Planner
130,2024-07-17,Referral,TX,Essential,Investor
131,2025-08-09,Social,FL,Plus,Family Planner
132,2024-11-29,Organic,FL,Premium,Family Planner
133,2023-04-23,Organic,GA,Essential,Credit Improver
134,2023-01-02,Paid Search,FL,Plus,Credit Improver
135,2024-10-03,Partner,NJ,Plus,Budget Builder
136,2023-08-08,Paid Search,NJ,Premium,Credit Improver
137,2025-05-04,Organic,CA,Essential,Investor
138,2024-01-20,Paid Search,FL,Plus,Family Planner
139,2024-12-30,Referral,FL,Plus,Family Planner
140,2023-09-04,Partner,NY,Essential,Credit Improver
141,2025-04-15,Social,NY,Essential,Family Planner
142,2023-07-22,Partner,NJ,Essential,Credit Improver
143,2023-05-03,Paid Search,GA,Essential,Investor
144,2024-02-05,Paid Search,IL,Plus,Credit Improver
145,2025-02-05,Social,NJ,Premium,Investor
146,2023-10-21,Paid Search,TX,Essential,Budget Builder
147,2023-10-07,Referral,GA,Plus,Family Planner
148,2025-06-02,Paid Search,FL,Plus,Budget Builder
149,2023-07-17,Organic,FL,Essential,Credit Improver
150,2025-09-08,Paid Search,NJ,Essential,Credit Improver
151,2025-01-21,Partner,IL,Plus,Budget Builder
152,2023-05-24,Paid Search,IL,Plus,Investor
153,2024-08-31,Referral,IL,Essential,Investor
154,2023-07-06,Organic,CA,Essential,Budget Builder
155,2024-04-08,Social,NY,Premium,Family Planner
156,2024-10-21,Social,FL,Premium,Family Planner
157,2025-02-02,Paid Search,IL,Plus,Budget Builder
158,2025-08-12,Paid Search,CA,Essential,Investor
159,2024-02-07,Organic,GA,Essential,Family Planner
160,2023-05-27,Organic,NY,Premium,Family Planner
161,2025-05-13,Referral,GA,Plus,Credit Improver
162,2024-05-03,Referral,TX,Plus,Family Planner
163,2025-07-17,Paid Search,IL,Essential,Family Planner
164,2024-07-04,Paid Search,IL,Plus,Investor
165,2023-12-04,Paid Search,GA,Premium,Budget Builder
166,2025-05-21,Social,GA,Essential,Family Planner
167,2024-10-02,Organic,NJ,Premium,Family Planner
168,2024-04-17,Referral,CA,Plus,Family Planner
169,2023-05-31,Organic,NY,Essential,Credit Improver
170,2023-09-20,Paid Search,IL,Plus,Budget Builder
171,2023-05-24,Paid Search,NJ,Plus,Family Planner
172,2023-12-12,Organic,IL,Plus,Investor
173,2024-09-15,Organic,NJ,Plus,Credit Improver
174,2025-10-13,Paid Search,IL,Essential,Budget Builder
175,2025-05-30,Organic,FL,Essential,Investor
176,2023-01-02,Paid Search,NY,Essential,Credit Improver
177,2025-06-15,Organic,NJ,Essential,Budget Builder
178,2023-09-11,Paid Search,FL,Plus,Credit Improver
179,2024-03-28,Paid Search,IL,Plus,Budget Builder
180,2025-10-11,Partner,NJ,Premium,Budget Builder
181,2023-01-09,Partner,NY,Plus,Family Planner
182,2025-03-26,Paid Search,NJ,Essential,Budget Builder
183,2023-07-27,Social,TX,Plus,Investor
184,2024-02-08,Organic,TX,Essential,Budget Builder
185,2023-06-01,Organic,TX,Essential,Family Planner
186,2023-02-23,Social,TX,Essential,Budget Builder
187,2024-09-19,Paid Search,GA,Plus,Budget Builder
188,2024-08-09,Paid Search,CA,Plus,Budget Builder
189,2023-04-14,Social,IL,Essential,Credit Improver
190,2023-09-11,Partner,NJ,Plus,Family Planner
191,2024-05-24,Partner,NJ,Plus,Investor
192,2023-04-09,Paid Search,NJ,Essential,Budget Builder
193,2023-06-02,Partner,NJ,Essential,Investor
194,2025-07-02,Referral,FL,Plus,Credit Improver
195,2025-05-27,Partner,CA,Plus,Credit Improver
196,2023-12-04,Paid Search,IL,Plus,Investor
197,2025-04-01,Organic,NJ,Essential,Investor
198,2025-08-14,Paid Search,FL,Plus,Credit Improver
199,2023-06-10,Referral,GA,Essential,Budget Builder
200,2025-03-11,Referral,CA,Premium,Budget Builder
201,2024-02-02,Paid Search,FL,Essential,Family Planner
202,2025-03-26,Referral,TX,Premium,Family Planner
203,2024-02-05,Referral,TX,Plus,Budget Builder
204,2024-10-01,Referral,FL,Premium,Budget Builder
205,2024-11-18,Paid Search,NJ,Plus,Investor
206,2024-04-04,Paid Search,CA,Essential,Investor
207,2025-08-12,Partner,NY,Plus,Family Planner
208,2024-04-14,Social,FL,Essential,Investor
209,2025-01-19,Paid Search,IL,Plus,Budget Builder
210,2023-02-07,Social,FL,Essential,Budget Builder
211,2023-08-18,Organic,FL,Essential,Family Planner
212,2024-07-16,Organic,NJ,Plus,Budget Builder
213,2024-03-13,Paid Search,FL,Essential,Budget Builder
214,2023-01-27,Paid Search,NY,Essential,Credit Improver
215,2023-08-14,Paid Search,TX,Premium,Budget Builder
216,2025-03-08,Paid Search,TX,Essential,Credit Improver
217,2023-10-11,Paid Search,IL,Essential,Investor
218,2025-05-28,Paid Search,CA,Essential,Budget Builder
219,2025-08-17,Organic,CA,Essential,Investor
220,2024-03-28,Social,TX,Essential,Credit Improver
221,2025-10-16,Partner,NY,Essential,Credit Improver
222,2025-03-26,Partner,NY,Plus,Investor
223,2024-10-20,Paid Search,NJ,Premium,Credit Improver
224,2024-06-30,Paid Search,TX,Essential,Family Planner
225,2023-01-17,Social,TX,Premium,Budget Builder
226,2023-06-07,Social,CA,Essential,Credit Improver
227,2024-04-21,Social,NJ,Plus,Investor
228,2024-06-01,Referral,TX,Essential,Budget Builder
229,2023-04-09,Organic,CA,Plus,Budget Builder
230,2023-10-07,Referral,CA,Plus,Budget Builder
231,2024-05-11,Referral,GA,Plus,Investor
232,2023-10-29,Social,CA,Essential,Investor
233,2023-06-30,Paid Search,CA,Essential,Budget Builder
234,2024-08-29,Organic,IL,Premium,Credit Improver
235,2024-11-30,Paid Search,NY,Essential,Credit Improver
236,2025-09-19,Organic,IL,Essential,Budget Builder
237,2023-07-10,Referral,FL,Essential,Budget Builder
238,2023-09-10,Partner,IL,Essential,Investor
239,2025-09-07,Paid Search,CA,Essential,Investor
240,2025-07-16,Organic,NY,Essential,Family Planner
241,2023-05-08,Paid Search,GA,Plus,Credit Improver
242,2023-01-18,Paid Search,FL,Premium,Family Planner
243,2024-07-19,Referral,NY,Essential,Budget Builder
244,2024-07-23,Paid Search,FL,Plus,Credit Improver
245,2024-11-16,Paid Search,NY,Essential,Credit Improver
246,2024-09-17,Social,NJ,Premium,Family Planner
247,2025-05-03,Paid Search,NY,Premium,Credit Improver
248,2025-08-19,Paid Search,NJ,Plus,Investor
249,2023-06-04,Social,IL,Essential,Budget Builder
250,2024-05-04,Partner,FL,Premium,Credit Improver
251,2025-02-23,Partner,IL,Essential,Investor
252,2023-09-03,Organic,TX,Plus,Budget Builder
253,2025-01-28,Partner,TX,Essential,Budget Builder
254,2024-06-21,Paid Search,CA,Plus,Budget Builder
255,2025-07-09,Organic,GA,Premium,Credit Improver
256,2024-02-12,Social,IL,Plus,Investor
257,2024-06-08,Organic,FL,Essential,Family Planner
258,2025-04-07,Social,GA,Essential,Investor
259,2025-06-21,Organic,NY,Premium,Credit Improver
260,2023-02-05,Paid Search,CA,Essential,Credit Improver
261,2024-11-15,Organic,IL,Plus,Budget Builder
262,2023-01-20,Social,NY,Plus,Investor
263,2023-11-17,Organic,TX,Premium,Investor
264,2024-05-26,Referral,CA,Premium,Credit Improver
265,2024-02-04,Referral,FL,Essential,Credit Improver
266,2024-10-15,Partner,IL,Essential,Budget Builder
267,2025-08-29,Partner,FL,Essential,Investor
268,2024-04-15,Organic,CA,Essential,Budget Builder
269,2025-04-13,Paid Search,GA,Plus,Family Planner
270,2024-12-27,Paid Search,GA,Essential,Budget Builder
271,2025-05-03,Social,CA,Plus,Investor
272,2023-02-20,Partner,NY,Essential,Credit Improver
273,2024-07-28,Referral,NY,Premium,Budget Builder
274,2023-05-30,Paid Search,FL,Plus,Investor
275,2023-11-10,Social,FL,Essential,Budget Builder
276,2024-07-23,Organic,IL,Plus,Investor
277,2023-11-01,Organic,CA,Essential,Investor
278,2024-11-12,Referral,GA,Essential,Credit Improver
279,2025-04-17,Paid Search,IL,Essential,Budget Builder
280,2025-09-29,Paid Search,NJ,Plus,Budget Builder
281,2024-03-19,Paid Search,IL,Essential,Budget Builder
282,2024-09-04,Organic,CA,Premium,Family Planner
283,2025-09-19,Organic,CA,Essential,Investor
284,2023-09-21,Paid Search,GA,Essential,Credit Improver
285,2025-09-30,Paid Search,TX,Plus,Investor
286,2023-01-05,Partner,GA,Plus,Credit Improver
287,2025-02-12,Paid Search,CA,Essential,Family Planner
288,2025-05-26,Social,IL,Plus,Credit Improver
289,2025-09-18,Organic,TX,Plus,Family Planner
290,2025-06-02,Paid Search,NY,Plus,Investor
291,2023-02-16,Organic,NJ,Premium,Budget Builder
292,2025-05-16,Paid Search,GA,Plus,Budget Builder
293,2025-04-02,Organic,CA,Essential,Budget Builder
294,2025-07-24,Partner,GA,Essential,Investor
295,2024-10-17,Organic,IL,Plus,Investor
296,2023-09-26,Paid Search,NY,Essential,Family Planner
297,2024-01-05,Paid Search,CA,Essential,Budget Builder
298,2024-09-27,Organic,CA,Essential,Family Planner
299,2024-10-18,Referral,NY,Essential,Credit Improver
300,2023-04-30,Paid Search,CA,Essential,Family Planner
301,2025-04-10,Organic,NJ,Plus,Credit Improver
302,2025-01-10,Partner,CA,Essential,Investor
303,2023-04-27,Referral,TX,Essential,Family Planner
304,2025-03-01,Organic,GA,Plus,Family Planner
305,2025-10-09,Paid Search,NY,Essential,Family Planner
306,2024-09-25,Paid Search,TX,Essential,Budget Builder
307,2024-05-27,Social,NJ,Essential,Budget Builder
308,2025-03-12,Referral,CA,Essential,Budget Builder
309,2024-07-13,Referral,NY,Essential,Budget Builder
310,2024-05-02,Organic,NY,Essential,Investor
311,2025-06-15,Social,TX,Premium,Budget Builder
312,2024-12-04,Organic,NJ,Plus,Budget Builder
313,2024-08-03,Paid Search,TX,Premium,Budget Builder
314,2025-02-28,Referral,GA,Essential,Budget Builder
315,2025-05-10,Paid Search,GA,Essential,Family Planner
316,2023-09-04,Social,FL,Premium,Budget Builder
317,2023-06-03,Partner,NJ,Essential,Family Planner
318,2025-09-23,Organic,CA,Essential,Family Planner
319,2024-11-27,Referral,FL,Plus,Credit Improver
320,2025-10-05,Organic,TX,Essential,Budget Builder
321,2023-04-04,Referral,TX,Premium,Budget Builder
322,2025-08-15,Partner,IL,Essential,Investor
323,2025-10-08,Paid Search,NJ,Premium,Budget Builder
324,2024-03-28,Partner,NJ,Essential,Investor
325,2025-06-30,Referral,GA,Essential,Credit Improver
326,2023-08-06,Paid Search,GA,Essential,Credit Improver
327,2024-04-18,Paid Search,TX,Essential,Credit Improver
328,2024-03-07,Organic,NY,Essential,Credit Improver
329,2023-12-07,Paid Search,CA,Essential,Credit Improver
330,2024-07-04,Organic,NJ,Essential,Credit Improver
331,2023-12-23,Referral,GA,Plus,Investor
332,2023-01-23,Referral,NY,Plus,Credit Improver
333,2024-06-05,Paid Search,TX,Plus,Investor
334,2025-03-12,Organic,GA,Essential,Family Planner
335,2025-01-31,Paid Search,TX,Plus,Budget Builder
336,2024-03-17,Paid Search,NY,Essential,Budget Builder
337,2025-02-07,Partner,TX,Essential,Budget Builder
338,2025-10-12,Paid Search,CA,Essential,Family Planner
339,2024-05-30,Paid Search,IL,Premium,Budget Builder
340,2025-03-02,Paid Search,NY,Essential,Family Planner
341,2023-12-02,Paid Search,CA,Premium,Investor
342,2023-09-15,Referral,NJ,Plus,Credit Improver
343,2024-05-11,Referral,IL,Essential,Investor
344,2025-06-14,Paid Search,FL,Essential,Investor
345,2023-06-09,Referral,IL,Plus,Budget Builder
346,2025-05-01,Referral,CA,Plus,Investor
347,2024-11-20,Paid Search,IL,Essential,Budget Builder
348,2024-01-15,Paid Search,FL,Plus,Family Planner
349,2025-08-14,Organic,TX,Essential,Family Planner
350,2024-11-21,Paid Search,CA,Essential,Credit Improver
351,2023-10-12,Referral,CA,Plus,Budget Builder
352,2024-02-01,Organic,TX,Essential,Family Planner
353,2023-01-12,Partner,GA,Essential,Family Planner
354,2024-05-13,Referral,CA,Essential,Credit Improver
355,2025-01-23,Organic,TX,Essential,Investor
356,2023-02-04,Organic,NJ,Essential,Family Planner
357,2024-12-27,Organic,IL,Premium,Credit Improver
358,2025-04-28,Partner,IL,Plus,Budget Builder
359,2023-03-31,Paid Search,NY,Plus,Budget Builder
360,2025-02-14,Referral,GA,Essential,Investor
361,2024-08-27,Paid Search,GA,Essential,Investor
362,2025-08-27,Paid Search,CA,Essential,Budget Builder
363,2025-10-18,Partner,NJ,Essential,Budget Builder
364,2024-02-22,Partner,NY,Plus,Budget Builder
365,2023-04-25,Paid Search,IL,Premium,Family Planner
366,2024-09-08,Organic,CA,Plus,Budget Builder
367,2025-04-05,Organic,NJ,Premium,Family Planner
368,2024-02-17,Social,CA,Premium,Investor
369,2024-12-29,Organic,NY,Essential,Credit Improver
370,2025-10-17,Partner,CA,Plus,Investor
371,2025-01-30,Paid Search,TX,Plus,Family Planner
372,2024-11-06,Organic,IL,Plus,Budget Builder
373,2024-04-01,Social,NJ,Plus,Budget Builder
374,2025-07-08,Social,CA,Essential,Family Planner
375,2023-07-11,Referral,TX,Essential,Credit Improver
376,2025-01-08,Paid Search,IL,Essential,Credit Improver
377,2025-09-04,Referral,IL,Essential,Budget Builder
378,2025-10-05,Referral,GA,Essential,Investor
379,2023-04-06,Referral,NY,Essential,Budget Builder
380,2024-10-24,Partner,GA,Essential,Family Planner
381,2023-02-06,Organic,NY,Essential,Budget Builder
382,2023-10-06,Organic,IL,Plus,Budget Builder
383,2023-08-05,Paid Search,GA,Essential,Credit Improver
384,2025-05-16,Paid Search,TX,Essential,Budget Builder
385,2025-05-22,Referral,NY,Essential,Credit Improver
386,2023-03-03,Organic,TX,Plus,Credit Improver
387,2024-08-18,Paid Search,GA,Essential,Credit Improver
388,2024-12-29,Organic,NY,Essential,Budget Builder
389,2024-02-01,Paid Search,FL,Essential,Investor
390,2024-11-29,Social,FL,Plus,Investor
391,2023-06-26,Social,CA,Essential,Budget Builder
392,2024-01-31,Social,GA,Plus,Investor
393,2024-03-20,Referral,GA,Plus,Family Planner
394,2023-03-17,Paid Search,GA,Plus,Credit Improver
395,2023-09-22,Partner,NY,Premium,Investor
396,2024-03-30,Organic,FL,Plus,Family Planner
397,2024-12-18,Social,GA,Essential,Budget Builder
398,2025-01-04,Paid Search,GA,Essential,Budget Builder
399,2025-04-30,Referral,TX,Essential,Family Planner
400,2023-05-24,Referral,NY,Essential,Budget Builder
401,2025-06-03,Referral,GA,Plus,Family Planner
402,2024-01-31,Social,NJ,Essential,Family Planner
403,2025-08-05,Paid Search,TX,Plus,Investor
404,2025-06-09,Paid Search,FL,Essential,Credit Improver
405,2024-07-22,Paid Search,FL,Essential,Family Planner
406,2023-04-19,Referral,FL,Premium,Credit Improver
407,2025-07-23,Paid Search,CA,Premium,Budget Builder
408,2024-02-02,Social,IL,Essential,Investor
409,2024-09-25,Paid Search,CA,Plus,Credit Improver
410,2025-01-02,Paid Search,NJ,Plus,Family Planner
411,2023-08-23,Paid Search,NJ,Essential,Investor
412,2024-10-19,Referral,IL,Essential,Investor
413,2025-01-20,Paid Search,TX,Plus,Investor
414,2024-08-10,Social,NJ,Premium,Budget Builder
415,2025-10-29,Organic,TX,Plus,Investor
416,2025-08-11,Organic,GA,Essential,Credit Improver
417,2024-05-06,Paid Search,NY,Essential,Investor
418,2025-07-01,Partner,CA,Essential,Credit Improver
419,2023-06-19,Referral,GA,Essential,Budget Builder
420,2025-08-03,Social,FL,Essential,Budget Builder
421,2025-03-05,Organic,TX,Essential,Investor
422,2024-09-25,Referral,NJ,Essential,Investor
423,2023-01-29,Partner,NY,Premium,Family Planner
424,2023-12-05,Social,NJ,Plus,Credit Improver
425,2024-05-14,Paid Search,FL,Essential,Budget Builder
426,2024-05-25,Paid Search,NY,Plus,Family Planner
427,2023-08-05,Social,NJ,Essential,Budget Builder
428,2024-03-20,Partner,TX,Plus,Family Planner
429,2025-05-25,Paid Search,GA,Essential,Family Planner
430,2023-06-16,Referral,NJ,Essential,Investor
431,2023-04-01,Paid Search,CA,Essential,Budget Builder
432,2024-12-14,Referral,IL,Plus,Investor
433,2023-02-08,Paid Search,IL,Essential,Family Planner
434,2023-06-22,Organic,IL,Essential,Family Planner
435,2024-10-14,Partner,CA,Plus,Family Planner
436,2025-01-23,Paid Search,NY,Essential,Credit Improver
437,2024-04-20,Paid Search,CA,Essential,Budget Builder
438,2024-03-31,Paid Search,NJ,Plus,Family Planner
439,2025-04-08,Organic,FL,Essential,Budget Builder
440,2025-06-13,Paid Search,CA,Essential,Budget Builder
441,2025-10-21,Referral,TX,Essential,Investor
442,2024-01-22,Organic,NJ,Essential,Budget Builder
443,2023-12-14,Paid Search,IL,Plus,Investor
444,2023-07-09,Social,CA,Essential,Budget Builder
445,2024-05-19,Paid Search,GA,Plus,Budget Builder
446,2025-04-03,Social,NY,Essential,Budget Builder
447,2025-07-17,Organic,IL,Essential,Family Planner
448,2025-07-22,Partner,FL,Plus,Budget Builder
449,2023-05-14,Paid Search,FL,Essential,Investor
450,2023-02-27,Organic,FL,Essential,Family Planner
451,2024-11-15,Partner,FL,Essential,Investor
452,2024-11-02,Organic,TX,Premium,Budget Builder
453,2023-06-22,Paid Search,CA,Essential,Investor
454,2025-03-25,Referral,FL,Premium,Family Planner
455,2023-03-21,Organic,TX,Plus,Family Planner
456,2025-06-04,Paid Search,TX,Essential,Credit Improver
457,2023-07-22,Organic,FL,Plus,Budget Builder
458,2025-02-02,Partner,GA,Plus,Credit Improver
459,2023-02-16,Paid Search,FL,Plus,Investor
460,2024-10-17,Organic,TX,Essential,Credit Improver
461,2024-04-15,Organic,TX,Premium,Credit Improver
462,2025-08-28,Paid Search,NY,Plus,Investor
463,2025-01-05,Organic,TX,Premium,Family Planner
464,2025-02-22,Paid Search,IL,Plus,Family Planner
465,2025-08-25,Social,NY,Essential,Budget Builder
466,2023-12-24,Organic,GA,Essential,Budget Builder
467,2025-08-29,Paid Search,NJ,Essential,Credit Improver
468,2024-10-29,Referral,NJ,Essential,Budget Builder
469,2024-01-08,Organic,NY,Essential,Budget Builder
470,2025-10-28,Organic,NJ,Essential,Credit Improver
471,2024-11-06,Organic,TX,Essential,Credit Improver
472,2023-03-31,Social,IL,Essential,Family Planner
473,2024-11-28,Referral,TX,Plus,Budget Builder
474,2024-06-23,Paid Search,FL,Premium,Investor
475,2025-01-01,Social,CA,Essential,Credit Improver
476,2025-05-18,Social,FL,Essential,Investor
477,2023-02-10,Paid Search,FL,Premium,Credit Improver
478,2025-01-09,Paid Search,CA,Essential,Credit Improver
479,2024-05-16,Paid Search,NY,Plus,Budget Builder
480,2025-08-16,Organic,TX,Essential,Budget Builder
481,2025-07-17,Partner,CA,Essential,Budget Builder
482,2024-04-05,Referral,GA,Essential,Budget Builder
483,2025-01-01,Paid Search,TX,Essential,Investor
484,2025-01-21,Organic,IL,Plus,Credit Improver
485,2025-07-13,Partner,NY,Plus,Budget Builder
486,2025-06-27,Paid Search,NJ,Premium,Budget Builder
487,2024-01-25,Organic,FL,Plus,Budget Builder
488,2025-06-01,Organic,FL,Essential,Budget Builder
489,2023-09-13,Referral,TX,Essential,Investor
490,2024-12-09,Paid Search,CA,Essential,Budget Builder
491,2024-03-25,Organic,NJ,Plus,Investor
492,2023-01-10,Organic,GA,Essential,Investor
493,2025-04-03,Social,TX,Essential,Budget Builder
494,2025-03-08,Organic,IL,Premium,Family Planner
495,2025-05-26,Organic,GA,Essential,Budget Builder
496,2025-10-25,Referral,FL,Essential,Budget Builder
497,2025-10-12,Paid Search,TX,Plus,Family Planner
498,2024-01-09,Referral,TX,Essential,Family Planner
499,2023-05-26,Paid Search,FL,Essential,Family Planner
500,2023-08-12,Organic,NJ,Essential,Family Planner
501,2023-06-26,Organic,TX,Plus,Credit Improver
502,2025-05-02,Organic,GA,Essential,Investor
503,2023-03-04,Referral,CA,Premium,Credit Improver
504,2025-04-06,Partner,CA,Essential,Family Planner
505,2025-03-05,Referral,NY,Essential,Investor
506,2024-11-19,Referral,NY,Essential,Budget Builder
507,2023-04-15,Organic,NY,Plus,Budget Builder
508,2024-05-25,Partner,IL,Essential,Family Planner
509,2024-01-20,Referral,CA,Essential,Family Planner
510,2024-02-09,Referral,NJ,Premium,Investor
511,2025-04-02,Organic,TX,Essential,Investor
512,2024-06-01,Paid Search,CA,Essential,Credit Improver
513,2024-04-20,Social,NY,Plus,Credit Improver
514,2024-12-09,Paid Search,NY,Premium,Budget Builder
515,2025-02-09,Referral,IL,Plus,Family Planner
516,2025-09-23,Organic,TX,Essential,Credit Improver
517,2024-11-07,Paid Search,NY,Plus,Budget Builder
518,2024-12-14,Social,GA,Plus,Investor
519,2023-03-24,Social,FL,Essential,Family Planner
